ID,MOS
2001,1.5829821
2002,3.8542793
2003,1.158355
2004,4.111315
2005,2.1062179
2006,1.9987593
2007,2.7952237
2008,1.4331045
2009,3.0183797
2010,1.4537785
2011,3.075479
2012,2.1523068
2013,2.4979968
2014,2.5749364
2015,2.4181986
2016,3.7441173
2017,3.8111825
2018,1.3911984
2019,1.4727893
2020,2.4897542
2021,2.9069126
2022,2.75832
2023,2.6002185
2024,3.544738
2025,2.7970495
2026,1.9693267
2027,4.592205
2028,3.5531025
2029,2.315658
2030,3.6019046
2031,2.274621
2032,3.9280574
2033,2.5485013
2034,1.9060112
2035,1.6884804
2036,2.663805
2037,1.8679663
2038,3.3776894
2039,4.0692987
2040,1.962588
2041,2.5147877
2042,2.343363
2043,1.596331
2044,3.14739
2045,2.055079
2046,3.5400987
2047,2.857884
2048,3.325042
2049,1.727485
2050,4.1886826
2051,1.8193111
2052,2.5839078
2053,3.122556
2054,2.4856064
2055,3.3918133
2056,3.2011344
2057,3.3114204
2058,3.8306859
2059,1.7567158
2060,2.0576909
2061,3.792204
2062,4.531752
2063,2.7298334
2064,3.1362042
2065,2.4566026
2066,2.0615885
2067,3.6436455
2068,4.80913
2069,4.2910013
2070,2.1701725
2071,1.8800719
2072,4.951758
2073,3.2678533
2074,3.5545075
2075,4.790735
2076,1.5335944
2077,4.7507696
2078,3.336738
2079,2.3260102
2080,2.7321274
2081,4.1608343
2082,3.7580822
2083,4.372564
2084,3.6371226
2085,4.5228987
2086,1.7468264
2087,3.3572128
2088,2.5780678
2089,3.2857037
2090,2.8354964
2091,1.5857652
2092,2.4723022
2093,3.9665444
2094,2.3687463
2095,2.1039824
2096,3.0972807
2097,2.2292824
2098,2.5526285
2099,1.963217
2100,2.5541065
2101,4.18811
2102,3.549554
2103,2.3411357
2104,2.5000558
2105,2.2379825
2106,1.6857951
2107,3.0024333
2108,3.8853264
2109,3.1233363
2110,3.7607455
2111,2.6287904
2112,3.2469852
2113,3.795753
2114,2.0023088
2115,3.232634
2116,3.4738488
2117,2.110155
2118,2.3738072
2119,2.8112576
2120,1.279698
2121,3.6640937
2122,1.5147207
2123,2.3718743
2124,3.9729767
2125,2.3630965
2126,3.604138
2127,2.9358516
2128,4.3485656
2129,3.2590015
2130,3.3778553
2131,4.1917257
2132,1.9719255
2133,2.696352
2134,2.9840245
2135,2.2917523
2136,2.2709002
2137,1.6221092
2138,1.1033508
2139,2.4269428
2140,3.4836318
2141,2.406519
2142,4.835551
2143,2.4070346
2144,4.010152
2145,3.5079522
2146,3.4087703
2147,3.7890728
2148,4.4980454
2149,3.0089984
2150,3.194432
2151,3.262076
2152,2.1386364
2153,2.3413134
2154,1.8831599
2155,2.381593
2156,3.4404647
2157,4.728801
2158,4.8237767
2159,3.0968328
2160,2.016415
2161,3.867086
2162,1.9273646
2163,2.5916193
2164,3.260669
2165,4.8216934
2166,2.4193008
2167,3.9389763
2168,1.9656042
2169,3.767016
2170,2.0610356
2171,2.872052
2172,1.829286
2173,3.5071614
2174,1.385759
2175,3.0296655
2176,3.8345006
2177,2.519768
2178,2.4605396
2179,1.6059666
2180,2.4872684
2181,3.203673
2182,3.8161654
2183,3.4974468
2184,3.6253152
2185,2.2740138
2186,2.6068091
2187,3.7465928
2188,1.7497222
2189,3.4252498
2190,1.3612626
2191,1.6012497
2192,2.1556566
2193,1.8345735
2194,2.2227457
2195,1.6549785
2196,3.5158029
2197,2.0086384
2198,3.1069393
2199,3.8606524
2200,1.9240196
2201,1.8213373
2202,1.3337715
2203,3.5920238
2204,2.1079261
2205,1.2941427
2206,2.400904
2207,2.367196
2208,2.3378303
2209,2.9521873
2210,3.0897365
